Model,Accuracy,Precision,Recall,F1-score
ANN,0.9824561403508771,0.9767441860465116,0.9767441860465116,0.9767441860465116
Logistic regression,0.9736842105263158,0.9545454545454546,0.9767441860465116,0.9655172413793104
SVM,0.9736842105263158,0.9761904761904762,0.9534883720930233,0.9647058823529412
Random forest,0.9649122807017544,0.975609756097561,0.9302325581395349,0.9523809523809523
